时间,等级,类型,代码,名称,现价,涨跌幅,正股涨跌幅,溢价率,评分,详情
14:32:50,B,正股大跌转债抗跌,110084,贵燃转债,129.40,-0.54%,-3.17%,20.26%,0.6,正股大跌-3.2% 转债仅-0.5% 抗跌 🔗板块 地下管网/氢能源(均涨+4.4%)
14:32:59,B,放量拉升,111001,山玻转债,202.92,+2.32%,-4.19%,1.19%,1.7,"放量5.0x (均量168手/轮, 峰值843手) 成交额24.97亿 ⚠️强赎"
14:33:13,B,放量拉升,127079,华亚转债,268.40,+0.11%,-0.05%,-0.44%,19.9,"放量11.1x (均量62手/轮, 峰值700手) 成交额4.74亿 ⚠️强赎"
14:36:19,B,超跌修复,118050,航宇转债,295.09,-3.78%,-0.88%,26.12%,0.5,转债超跌-3.8% vs 正股-0.9% 偏离2.9% 修复空间大
14:36:56,B,超跌修复,127055,精装转债,248.29,-3.01%,+3.59%,18.66%,11.8,转债超跌-3.0% vs 正股+3.6% 偏离6.6% 修复空间大
14:36:56,B,正股大跌转债抗跌,128127,文科转债,114.42,-0.09%,-5.35%,15.30%,3.8,正股大跌-5.3% 转债仅-0.1% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.7%)
14:36:56,B,超跌修复,118060,瑞可转债,251.64,-2.42%,+0.40%,35.60%,0.3,转债超跌-2.4% vs 正股+0.4% 偏离2.8% 修复空间大
14:36:56,B,股价大涨转债滞涨,123131,奥飞转债,273.88,+0.82%,+3.60%,25.93%,0.7,正股大涨+3.6% 转债仅+0.8% 偏离2.8% 🔗板块 绿色电力/东数西算(算力)(均涨+2.9%)
14:37:24,B,股价大涨转债滞涨,127078,优彩转债,144.10,+0.07%,+3.26%,24.90%,1.0,正股大涨+3.3% 转债仅+0.1% 偏离3.2%
14:37:53,B,正股大跌转债抗跌,110084,贵燃转债,129.41,-0.53%,-3.17%,20.27%,0.6,正股大跌-3.2% 转债仅-0.5% 抗跌 🔗板块 地下管网/氢能源(均涨+4.3%)
14:38:02,B,放量拉升,111001,山玻转债,204.07,+2.91%,-3.93%,1.49%,0.0,"放量2.6x (均量279手/轮, 峰值723手) 成交额25.21亿 ⚠️强赎"
14:38:16,B,放量拉升,127079,华亚转债,271.25,+1.17%,+0.81%,-0.24%,2.6,"放量5.6x (均量226手/轮, 峰值1274手) 成交额5.05亿 ⚠️强赎"
14:41:23,B,超跌修复,118050,航宇转债,295.51,-3.65%,-0.97%,26.41%,0.2,转债超跌-3.6% vs 正股-1.0% 偏离2.7% 修复空间大
14:42:00,B,超跌修复,127055,精装转债,250.22,-2.26%,+3.67%,19.49%,8.6,转债超跌-2.3% vs 正股+3.7% 偏离5.9% 修复空间大
14:42:00,B,正股大跌转债抗跌,128127,文科转债,114.48,-0.04%,-4.87%,14.78%,3.1,正股大跌-4.9% 转债仅-0.0% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.9%)
14:42:00,B,股价大涨转债滞涨,123131,奥飞转债,274.20,+0.94%,+3.88%,25.73%,1.0,正股大涨+3.9% 转债仅+0.9% 偏离2.9% 🔗板块 绿色电力/东数西算(算力)(均涨+3.1%)
14:42:00,B,超跌修复,118060,瑞可转债,253.55,-1.68%,+0.84%,36.03%,0.1,转债超跌-1.7% vs 正股+0.8% 偏离2.5% 修复空间大
14:42:28,B,股价大涨转债滞涨,127078,优彩转债,144.27,+0.19%,+3.69%,24.53%,1.3,正股大涨+3.7% 转债仅+0.2% 偏离3.5%
14:42:55,B,正股大跌转债抗跌,110084,贵燃转债,129.53,-0.44%,-3.04%,20.22%,0.6,正股大跌-3.0% 转债仅-0.4% 抗跌 🔗板块 地下管网/氢能源(均涨+4.4%)
14:44:03,B,放量拉升,111001,山玻转债,204.40,+3.07%,-3.59%,1.29%,1.8,"放量5.1x (均量192手/轮, 峰值984手) 成交额25.49亿 ⚠️强赎"
14:46:24,B,超跌修复,118050,航宇转债,295.26,-3.73%,-1.05%,26.41%,0.2,转债超跌-3.7% vs 正股-1.1% 偏离2.7% 修复空间大
14:47:05,B,超跌修复,127055,精装转债,250.00,-2.34%,+3.83%,19.20%,9.7,转债超跌-2.3% vs 正股+3.8% 偏离6.2% 修复空间大
14:47:05,B,正股大跌转债抗跌,128127,文科转债,114.48,-0.04%,-5.11%,15.07%,3.6,正股大跌-5.1% 转债仅-0.0% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.8%)
14:47:05,B,股价大涨转债滞涨,123131,奥飞转债,274.04,+0.88%,+3.69%,25.88%,0.8,正股大涨+3.7% 转债仅+0.9% 偏离2.8% 🔗板块 绿色电力/东数西算(算力)(均涨+3.0%)
14:47:05,B,超跌修复,118060,瑞可转债,252.14,-2.23%,+0.53%,35.69%,0.3,转债超跌-2.2% vs 正股+0.5% 偏离2.8% 修复空间大
14:47:32,B,股价大涨转债滞涨,127078,优彩转债,144.18,+0.13%,+3.55%,24.63%,1.2,正股大涨+3.5% 转债仅+0.1% 偏离3.4%
14:47:55,B,正股大跌转债抗跌,110084,贵燃转债,129.53,-0.44%,-3.55%,20.85%,1.0,正股大跌-3.5% 转债仅-0.4% 抗跌 🔗板块 地下管网/氢能源(均涨+4.4%)
14:49:04,B,放量拉升,111001,山玻转债,204.82,+3.28%,-3.21%,1.10%,0.1,"放量3.1x (均量339手/轮, 峰值1044手) 成交额25.85亿 ⚠️强赎"
14:51:25,B,超跌修复,118050,航宇转债,295.60,-3.62%,-1.09%,26.60%,0.1,转债超跌-3.6% vs 正股-1.1% 偏离2.5% 修复空间大
14:52:05,B,超跌修复,127055,精装转债,250.45,-2.17%,+3.64%,19.63%,8.1,转债超跌-2.2% vs 正股+3.6% 偏离5.8% 修复空间大
14:52:05,B,正股大跌转债抗跌,128127,文科转债,114.48,-0.04%,-5.11%,15.07%,3.6,正股大跌-5.1% 转债仅-0.0% 抗跌 🔗板块 绿色电力/PPP概念(均涨+2.9%)
14:52:05,B,股价大涨转债滞涨,123131,奥飞转债,274.14,+0.92%,+3.93%,25.64%,1.0,正股大涨+3.9% 转债仅+0.9% 偏离3.0% 🔗板块 绿色电力/东数西算(算力)(均涨+3.1%)
14:52:05,B,超跌修复,118060,瑞可转债,251.33,-2.54%,+0.25%,35.65%,0.3,转债超跌-2.5% vs 正股+0.2% 偏离2.8% 修复空间大
14:52:33,B,股价大涨转债滞涨,127078,优彩转债,144.22,+0.16%,+3.40%,24.84%,1.0,正股大涨+3.4% 转债仅+0.2% 偏离3.2%
14:52:56,B,正股大跌转债抗跌,110084,贵燃转债,129.43,-0.51%,-3.68%,20.92%,1.0,正股大跌-3.7% 转债仅-0.5% 抗跌 🔗板块 地下管网/氢能源(均涨+4.5%)
14:54:04,B,放量拉升,111001,山玻转债,205.98,+3.87%,-2.95%,1.40%,0.1,"放量2.9x (均量324手/轮, 峰值928手) 成交额26.46亿 ⚠️强赎"
